stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
INOX Special Shade 4Ltr. (PINK),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (PINK),,,,1,465.00,-465.00,9e06a7a93192a70b,,
INOX Special Shade 4 Ltr. (SIGNAL RED),,,PCS,,,,,,,,INOX Special Shade 4 Ltr. (SIGNAL RED),,,,92,566.09,-52080.00,60b451476c0ac6a1,,
INOX Special Shade 4Ltr. (SUNRISE),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (SUNRISE),,,,34,465.00,-15810.00,d33acb44b4179fdb,,
INOX Special Shade 4 Ltr. (TERRACOTTA),,,PCS,,,,,,,,INOX Special Shade 4 Ltr. (TERRACOTTA),,,,35,465.00,-16275.00,b9d1b081334709e2,,
INOX Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (WHITE),,,,62,465.00,-28830.00,555b733f3b0f1869,,
INOX Special Shade 4Ltr. (YELLOW),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (YELLOW),,,,64,465.00,-29760.00,3e51f6fc3299707e,,
INOX Special Shade 500ml. (BLACK),,,PCS,,,,,,,,INOX Special Shade 500ml. (BLACK),,,,100,75.00,-7500.00,0fabbee257008f1b,,
INOX Special Shade 500Ml (JOLLY HOLLY),,,PCS,,,,,,,,INOX Special Shade 500Ml (JOLLY HOLLY),,,,162,87.59,-14190.00,16bb9473241ce994,,
INOX Special Shade 500ml. (LM. SOUFFLE),,,PCS,,,,,,,,INOX Special Shade 500ml. (LM. SOUFFLE),,,,302,70.00,-21140.00,2161c548f9ca0a1f,,
INOX Special Shade 500ml. (MERRY PINK),,,PCS,,,,,,,,INOX Special Shade 500ml. (MERRY PINK),,,,204,70.00,-14280.00,fa81c056fe07b64b,,
INOX Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,INOX Special Shade 500 ML. (OXFORD BLUE),,,,48,75.00,-3600.00,eca5015bf41f9059,,
INOX Special Shade 500ml. (PARROT GREEN),,,PCS,,,,,,,,INOX Special Shade 500ml. (PARROT GREEN),,,,180,70.00,-12600.00,5799d323fa88b417,,
INOX Special Shade 500ml. (PURPLE),,,PCS,,,,,,,,INOX Special Shade 500ml. (PURPLE),,,,240,78.75,-18900.00,818ea80a5feeaee0,,
INOX Special Shade 500ml. (SIGNAL RED),,,PCS,,,,,,,,INOX Special Shade 500ml. (SIGNAL RED),,,,1393,76.29,-106275.00,c5991a0ba54c9142,,
INOX Special Shade 500ml. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,INOX Special Shade 500ml. (SOOTHING SAPPHIRE),,,,48,87.50,-4200.00,5daf9703b99dfec8,,
INOX Special Shade 500ml. (SUNRISE),,,PCS,,,,,,,,INOX Special Shade 500ml. (SUNRISE),,,,593,78.16,-46350.00,04dd38c9ad071169,,
INOX Special Shade 500ml. (TERRACOTTA),,,PCS,,,,,,,,INOX Special Shade 500ml. (TERRACOTTA),,,,596,61.88,-36881.06,49652fc3834a1fe3,,
INOX Special Shade 500ml. (YELLOW),,,PCS,,,,,,,,INOX Special Shade 500ml. (YELLOW),,,,88,90.34,-7950.00,e23706696831876a,,
