stock_item_name,qty,unit,rate,amount,amount_abs
Inox Water Base Enamel Ext. 2/3 20Ltr.,10,PCS,3220.00,-32200.00,32200.00
INOX FLOOR COAT,,,,-3640.00,3640.00
INOX Floor Coat 1Ltr. (SIGNAL RED),14,PCS,260.00,-3640.00,3640.00
INOX Int. Emulsion,160,PCS,1668.80,-267008.40,267008.40
INOX Matt Finish Int. Eml. 10Ltr.,47,PCS,929.72,-43696.91,43696.91
INOX Matt Finish Int. Eml. 1Ltr.,84,PCS,2012.05,-169012.11,169012.11
INOX Matt Finish Int. Eml. 20Ltr.,28,PCS,1841.32,-51556.88,51556.88
INOX Matt Finish Int. Eml. 4Ltr.,1,PCS,2742.50,-2742.50,2742.50
PAINT OIL,,,,-87296.00,87296.00
PAINT OIL 200 ML.,225,PCS,20.00,-4500.00,4500.00
PAINT OIL 20 LTR.,,,,-30720.00,30720.00
Paint Oil 450 ML.,840,PCS,42.00,-35280.00,35280.00
PAINT OIL 800 ML,247,PCS,68.00,-16796.00,16796.00
PRIMER (EXT. & INT.),1228,PCS,148.30,-182111.77,182111.77
INOX Water Primer 10Ltr.,41,PCS,421.40,-17277.21,17277.21
INOX Water Primer 1Ltr.,114,PCS,108.61,-12381.92,12381.92
INOX Water Primer 20Ltr.,11,PCS,1238.09,-13619.00,13619.00
INOX Water Primer 4Ltr.,123,PCS,347.25,-42712.12,42712.12
SAFARI METAL PRIMER 20 Ltr.,17,DRM,,,
SAFARI Red Oxide Matt (G2) 1Ltr.,71,PCS,142.86,-10142.86,10142.86
SAFARI Red Oxide Matt (G2) 20Ltr.,6,PCS,,,
SAFARI Red Oxide Matt (G2) 4Ltr.,4,PCS,480.00,-1920.00,1920.00
SAFARI Red Oxide Matt (G2) 500ml.,85,PCS,44.47,-3779.64,3779.64
SAFARI Red Oxide Matt (G3) 1Ltr.,371,PCS,42.17,-15645.00,15645.00
SAFARI Red Oxide Matt (G3) 4Ltr.,51,PCS,90.09,-4594.59,4594.59
SAFARI Red Oxide Matt (G3) 500Ml.,152,PCS,187.73,-28534.99,28534.99
SAFARI Smooth Finish Water Primer 10Ltr.,15,PCS,658.00,-9870.00,9870.00
SAFARI Smooth Finish Water Primer 1Ltr.,160,PCS,97.13,-15540.00,15540.00
SAFARI Smooth Finish Water Primer 20Ltr.,5,PCS,1088.89,-5444.44,5444.44
SAFARI Smooth Finish Water Primer 4Ltr.,2,PCS,325.00,-650.00,650.00
RAW MATERIAL,,,,-6141278.18,6141278.18
10 KG Bucket With LID,1280,PCS,70.00,-89600.00,89600.00
1 Ltr. (TIn),3818,PCS,22.00,-83996.00,83996.00
20 KG Bucket with LID,206,PCS,120.00,-24720.00,24720.00
4 Ltr. (TIn),592,PCS,56.00,-33152.00,33152.00
500 Ml. (TIn),5108,PCS,16.00,-81728.00,81728.00
5 KG BUCKET WITH LID,2344,PCS,38.44,-90114.99,90114.99
Alfox 200,37.020,KG,253.14,-9371.24,9371.24
Aluminium Stearate,25.000,KG,130.00,-3250.00,3250.00
Amonia,16.900,KG,,,
Barrels (18%),5,PCS,670.00,-3350.00,3350.00
Blue Drum 100 Ltr.,-4,DRM,,,
Blue Drum 50 Ltr.,-2,PCS,,,
"Bowl Set 20""",1,PCS,1199.90,-1199.90,1199.90
Bucket with LID -10 LTR,366,PCS,88.50,-32391.00,32391.00
BUCKET with LID- 1 LTR,10470,PCS,15.43,-161537.76,161537.76
BUCKET with LID-20 LTR,150.000,LTR,160.00,-24000.00,24000.00
BUCKET with LID-4 LTR,1835,PCS,38.20,-70097.00,70097.00
Bucket with Lid- 500Ml.,12373,PCS,11.84,-146487.78,146487.78
Cartoon (1 Ltr. x 6 Pcs),2031,PCS,9.50,-19294.50,19294.50
Cartoon (4 Ltr. x 4 Pcs),498,PCS,30.00,-14940.00,14940.00
Cartoon (500 Ml. x 12 Pcs),2002,PCS,10.20,-20420.40,20420.40
Cartoon (5 Kg. x 4 Pcs),499,PCS,31.00,-15469.00,15469.00
Cartoon Distemper (Pouch),2777,BOX,38.16,-105959.85,105959.85
Cartoon Distemper (Pouch) NEW BHARAT PAINTS,510,PCS,25.00,-12750.00,12750.00
Cartoon Tape (4),63,PCS,486.50,-30649.62,30649.62
Cartoon Tape (6),72,PCS,57.79,-4161.01,4161.01
Caustic Soda,105.400,KG,50.00,-5270.00,5270.00
Caustic Soda Flakes,300.000,KG,54.00,-16200.00,16200.00
Cellulose Ether (Hecellose) SBHV (25KGS),75.000,KG,610.00,-45750.00,45750.00
CEPS,445,PCS,3.00,-1335.00,1335.00
Chain Pulley Block 1 Ton (K- Power),1,PCS,4150.00,-4150.00,4150.00
Chemnol 5013,195.000,KG,165.00,-32175.00,32175.00
CHINA CLAY (MT),13940.000,KG,13.20,-183964.93,183964.93
Clarolite Voilet 91 (R),20.000,KG,570.00,-11400.00,11400.00
