stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,closing_qty,closing_rate,closing_amount,closing_amount_abs
BUCKET with LID-20 LTR,,,LTR,,,,,,,,150.000,160.00,-24000.00,24000.00
BUCKET with LID-4 LTR,,,PCS,,,,,,,,1835,38.20,-70097.00,70097.00
Bucket with Lid- 500Ml.,,,PCS,,,,,,,,12373,11.84,-146487.78,146487.78
Cartoon (1 Ltr. x 6 Pcs),,,PCS,,,,,,,,2031,9.50,-19294.50,19294.50
Cartoon (4 Ltr. x 4 Pcs),,,PCS,,,,,,,,498,30.00,-14940.00,14940.00
Cartoon (500 Ml. x 12 Pcs),,,PCS,,,,,,,,2002,10.20,-20420.40,20420.40
Cartoon (5 Kg. x 4 Pcs),,,PCS,,,,,,,,499,31.00,-15469.00,15469.00
Cartoon Distemper (Pouch),,,BOX,,,,,,,,2777,38.16,-105959.85,105959.85
Cartoon Distemper (Pouch) NEW BHARAT PAINTS,,,PCS,,,,,,,,510,25.00,-12750.00,12750.00
Cartoon Tape (4),,,PCS,,,,,,,,63,486.50,-30649.62,30649.62
Cartoon Tape (6),,,PCS,,,,,,,,72,57.79,-4161.01,4161.01
Caustic Soda,,,KG,,,,,,,,105.400,50.00,-5270.00,5270.00
Caustic Soda Flakes,,,KG,,,,,,,,300.000,54.00,-16200.00,16200.00
Cellulose Ether (Hecellose) SBHV (25KGS),,,KG,,,,,,,,75.000,610.00,-45750.00,45750.00
CEPS,,,PCS,,,,,,,,445,3.00,-1335.00,1335.00
Chain Pulley Block 1 Ton (K- Power),,,PCS,,,,,,,,1,4150.00,-4150.00,4150.00
Chemnol 5013,,,KG,,,,,,,,195.000,165.00,-32175.00,32175.00
CHINA CLAY (MT),,,KG,,,,,,,,13940.000,13.20,-183964.93,183964.93
Clarolite Voilet 91 (R),,,KG,,,,,,,,20.000,570.00,-11400.00,11400.00
CMC YBOON,,,KG,,,,,,,,133.800,336.67,-45046.00,45046.00
Drier Combination 25,,,KG,,,,,,,,75.000,196.67,-14750.00,14750.00
ELECTRICALS PRODUCT,,,QTY,,,,,,,,1.000,900.00,-900.00,900.00
EMDICRYL 2495 (240Kg),,,KG,,,,,,,,720.000,78.00,-56160.00,56160.00
EMDILITH DP 09 (250KG),,,KG,,,,,,,,250.000,115.00,-28750.00,28750.00
Eurocryl 4020 (235kgs),,,KG,,,,,,,,1645.000,98.00,-161210.00,161210.00
Eurocryl 7001 (235 Kgs),,,KG,,,,,,,,2115.000,71.00,-150165.00,150165.00
GLOVES EXMINATION M,,,QTY,,,,,,,,20.000,165.18,-3303.60,3303.60
HP 2590,,,PCS,,,,,,,,1,3644.07,-3644.07,3644.07
Indofil AT 140 245 KGS,,,KG,,,,,,,,245.000,112.00,-27440.00,27440.00
Industrial Solvent (Ltr),,,LTR,,,,,,,,800.000,63.50,-50800.00,50800.00
INNER PLUG,,,PCS,,,,,,,,500,6.00,-3000.00,3000.00
INOX 20LTR,,,BKT,,,,,,,,3,33466.67,-100400.00,100400.00
INOX DISTEMPER 20 KG BUCKETWITH LID,,,PCS,,,,,,,,210,120.00,-25200.00,25200.00
INOX DISTEMPER BUCKET 10 KG WITH LID,,,PCS,,,,,,,,152,70.00,-10640.00,10640.00
INOX DISTEMPER BUCKET 5KG WITH LID,,,PCS,,,,,,,,329,40.00,-13160.00,13160.00
JJ-2431 (50%),,,KG,,,,,,,,440.000,75.00,-33000.00,33000.00
JJ FOAM 7010 DEFOAMER (45KG),,,KG,,,,,,,,225.000,202.00,-45450.00,45450.00
Job Advertising Ad,,,QTY,,,,,,,,1.000,2200.00,-2200.00,2200.00
LD/HM/PP Bags and Roll Kg,,,KG,,,,,,,,367.774,120.36,-44264.64,44264.64
LIBO OIL AND & SE PAINT 2719,,,KG,,,,,,,,-100.000,,,
Liquor Ammonia,,,KG,,,,,,,,387.700,45.04,-17460.20,17460.20
Maize Starch Bag,,,BAG,,,,,,,,80,370.54,-29642.80,29642.80
Marble Powder 9500,,,KG,,,,,,,,34992.000,4.54,-158854.58,158854.58
Marble Powder 9900,,,KG,,,,,,,,32513.000,5.32,-172899.91,172899.91
MEG,,,KG,,,,,,,,230.300,74.16,-17077.98,17077.98
Metazolone FM,,,KG,,,,,,,,200.000,61.25,-12250.00,12250.00
Mineral Powder (25kg),,,KG,,,,,,,,3000.000,10.92,-32749.98,32749.98
MINERAL (TURKEY) 25KG,,,KG,,,,,,,,2000.000,9.75,-19500.00,19500.00
Minifine Blue 1611,,,KG,,,,,,,,42.300,318.00,-13451.40,13451.40
Minifine Green BT,,,KG,,,,,,,,172.800,370.00,-63936.00,63936.00
Minifine Red 1551 (Interior),,,KG,,,,,,,,50.000,406.00,-20300.00,20300.00
Minifine Signal Red 48,,,KG,,,,,,,,191.950,408.00,-78315.60,78315.60
